formula,intensity,m/z
C17H28O6,19695292,327.18131
C11H28N4O7,2749118,327.18855
C18H32O5,347961024,327.2177
C19H36O4,9084620,327.25412
C13H15N1O9,4544381,328.06742
C11H23N1O10,4814730,328.12491
C15H23N1O7,2824077,328.14013
C16H10O8,3107406,329.03034
C13H14O10,8429651,329.0514
C17H14O7,12916822,329.06668
C14H18O9,7131227,329.08784
C18H18O6,8003678,329.10306
C17H18N2O5,2359393,329.11427
C15H22O8,5994595,329.12415
C16H26O7,10365034,329.16061
C17H30O6,16226418,329.19696
C18H34O5,297760896,329.23336
C19H38O4,23828610,329.26977
C15H25N1O7,2962754,330.15583
C16H29N1O6,4017482,330.19228
C15H8O9,4228602,331.0096
C16H12O8,11553281,331.04591
C9H12N6O8,2756101,331.06428
C13H16O10,20380166,331.06712
C17H16O7,22977034,331.08236
C14H20O9,4514318,331.10339
C18H20O6,5120529,331.11873
C15H24O8,8284694,331.1399
C19H24O5,2796057,331.15511
C16H28O7,10431005,331.17622
C17H32O6,8614437,331.21266
C18H36O5,90700336,331.24898
C14H23N1O8,2630379,332.13512
C16H31N1O6,3500795,332.20786
C15H10O9,48626600,333.02525
C16H14O8,63224752,333.06156
C17H18O7,9049017,333.09803
C14H22O9,5680061,333.11909
C18H22O6,8571840,333.13434
C15H26O8,9339845,333.15554
C19H26O5,3455944,333.1708
C16H30O7,4697037,333.19185
C15H13N1O8,7210117,334.05689
C14H25N1O8,3215513,334.15069
C16H33N1O6,6268073,334.22351
C15H12O9,20938070,335.04084
C12H16O11,3468634,335.06199
C13H12N4O7,2954587,335.0634
C16H16O8,56720732,335.07728
C17H20O7,10394981,335.11359
C14H24O9,3363178,335.13476
C13H24N2O8,2495852,335.14604
C18H24O6,7683437,335.15005
C15H28O8,7615858,335.17114
C19H28O5,4911477,335.18637
C16H19N1O7,2845240,336.10892
C16H35N1O6,5027411,336.23921
C22H43N1O1,4711014,336.32723
C14H10O10,5261048,337.0201
C15H14O9,43384576,337.05651
C12H18O11,7646980,337.07762
C16H18O8,90832648,337.09291
C17H22O7,7094031,337.12928
C18H26O6,13655830,337.16569
C15H30O8,4875035,337.18683
C20H34O4,3390246,337.23848
C11H13N7O6,3564504,338.08549
C16H21N1O7,4638688,338.1245
C14H12O10,27394206,339.03582
C11H16O12,3365027,339.05688
C15H16O9,16601254,339.07213
C12H20O11,10268843,339.09333
C16H20O8,7547054,339.10858
C17H24O7,12587190,339.14491
C14H28O9,2830522,339.1661
C18H28O6,38191292,339.18134
C19H32O5,7426245,339.21767
C20H36O4,2562253,339.25411
C13H11N1O10,3310959,340.03108
C14H15N1O9,2428790,340.06739
C14H14O10,6871620,341.0514
C18H14O7,4543047,341.0667
C15H18O9,10453579,341.08779
C12H22O11,126321232,341.10894
C16H22O8,8499795,341.12424
C17H26O7,12206682,341.16054
C18H30O6,117408352,341.19702
C12H30N4O7,4447844,341.20423
C19H34O5,8383082,341.23332
C20H38O4,8028785,341.2698
C13H13N1O10,91587344,342.04668
C15H21N1O8,2787106,342.11937
C16H25N1O7,2735913,342.15589
C18H33N1O5,2631480,342.22865
C13H12O11,4752351,343.03074
C17H12O8,6417378,343.04595
C14H16O10,24298470,343.06706
C18H16O7,11256809,343.08231
C11H20O12,12747755,343.08819
C15H20O9,6620142,343.10349
C19H20O6,2583537,343.11882
C12H24O11,15832050,343.12463
C16H24O8,7943158,343.13985
C17H28O7,13186045,343.17625
C18H32O6,178947072,343.21262
C19H36O5,16090124,343.24902
C13H15N1O10,2774197,344.06232
C15H23N1O8,2717892,344.13505
C16H27N1O7,4740299,344.17151
C16H10O9,3193212,345.02519
C9H10N6O9,9393535,345.04351
C13H14O11,2987392,345.04629
C17H14O8,15938947,345.06163
C14H18O10,4297096,345.08275
C18H18O7,12027275,345.09794
C17H18N2O6,3436941,345.10921
C15H22O9,6747535,345.11909
C19H22O6,3978642,345.13441
C16H26O8,8725910,345.15552
C20H26O5,3273114,345.17073
C17H30O7,10061214,345.19187
C18H34O6,33359270,345.2283
C19H38O5,15922605,345.26463
C15H25N1O8,3689060,346.15076
C16H29N1O7,8320620,346.18717
C16H12O9,10290971,347.0409
C9H12N6O9,6919967,347.05918
C13H16O11,3313440,347.06198
C17H16O8,28460834,347.07722
C14H20O10,2487079,347.09835
C18H20O7,9471786,347.11366
C15H24O9,9946926,347.1348
C19H24O6,5611314,347.15001
C16H28O8,9795382,347.17111
C20H28O5,3479353,347.18638
C17H32O7,7898942,347.20759
C18H36O6,7767877,347.24389
C19H40O5,5211981,347.28033
C15H27N1O8,2456579,348.16639
C16H31N1O7,7223306,348.20285
C15H10O10,6602930,349.02011
C16H14O9,66029752,349.05655
C13H18O11,3838142,349.07765
C17H18O8,14829761,349.09288
C14H22O10,2584774,349.11398
C18H22O7,7196873,349.1293
C15H26O9,4298957,349.15044
C19H26O6,6027472,349.16567
C16H30O8,4490453,349.18677
C20H30O5,3802328,349.20202
C15H13N1O9,4109702,350.05175
C14H25N1O9,2359705,350.14565
C16H33N1O7,6345128,350.21844
C14H8O11,2882121,350.99937
C15H12O10,8321616,351.03582
C12H16O12,49941076,351.05691
C16H16O9,56363608,351.07213
C13H20O11,10648156,351.09326
C17H20O8,7037535,351.10855
C18H24O7,8872550,351.14492
C15H28O9,5370475,351.16604
C19H28O6,8616558,351.18133
C20H32O5,5603957,351.21772
C15H15N1O9,62589732,352.06744
C16H19N1O8,4698923,352.10381
C15H14O10,28077036,353.05148
C12H18O12,4254706,353.07253
C16H18O9,44993524,353.08778
C17H22O8,7816188,353.12423
C13H26N2O9,2979843,353.15658
C18H26O7,12495875,353.16056
C15H30O9,5102600,353.18165
C20H34O5,10083346,353.23334
C15H17N1O9,12459200,354.08308
C18H29N1O6,2727127,354.19223
C18H25N7O1,2600153,354.20489
C15H33N1O8,3083483,354.21323
C14H12O11,2882946,355.03072
C15H16O10,11877770,355.06709
C19H16O7,2410893,355.08242
C12H20O12,14122382,355.08825
C16H20O9,8496529,355.10349
C17H24O8,19959192,355.13983
C13H28N2O9,4506016,355.17229
C18H28O7,21695904,355.17628
C11H28N6O7,9430436,355.19483
C19H32O6,12803496,355.21258
C20H36O5,9031087,355.24904
C21H40O4,2698679,355.28538
C18H31N1O6,8769139,356.20784
C17H10O9,2301211,357.02516
C14H14O11,3362591,357.04631
C18H14O8,10489634,357.0616
C15H18O10,4960039,357.08276
C19H18O7,3828522,357.09802
C12H22O12,15867691,357.10387
C16H22O9,7810862,357.11908
C20H22O6,3069745,357.13434
C17H26O8,8849206,357.15553
C10H26N6O8,3199801,357.17411
C18H30O7,35295036,357.19187
C19H26N4O3,2596669,357.19304
C19H34O6,17149764,357.22829
C20H38O5,6367052,357.26469
C21H42O4,6641492,357.30102
C14H17N1O10,2627571,358.078
C15H21N1O9,3293178,358.11442
C16H25N1O8,2445314,358.15073
C17H29N1O7,2763785,358.18717
C16H29N3O6,2534411,358.19841
C18H33N1O6,7196689,358.22347
C17H12O9,6922424,359.04089
C14H16O11,3611836,359.06193
C18H16O8,12865727,359.07722
C15H20O10,3832004,359.0984
C19H20O7,6150343,359.11367
C12H24O12,3162312,359.11951
C16H24O9,6701260,359.13475
C20H24O6,4127951,359.15
C17H28O8,8165587,359.17115
C18H32O7,39882972,359.20756
C19H36O6,9859298,359.24389
C20H40O5,2692329,359.28035
C16H27N1O8,3984799,360.16639
C18H35N1O6,22843822,360.23918
C13H14O12,2491987,361.04118
C17H14O9,29790806,361.05649
C14H18O11,4123226,361.07769
C18H18O8,22581854,361.09293
C15H22O10,4507234,361.114
C19H22O7,6662757,361.12925
C12H26O12,2432614,361.13506
C16H26O9,8913513,361.15041
C20H26O6,6326892,361.16573
C17H30O8,7860849,361.18683
C21H30O5,2544244,361.20203
C18H34O7,12784248,361.22316
C19H38O6,3210880,361.25959
C15H25N1O9,2828086,362.14569
C16H29N1O8,6130493,362.18206
C18H37N1O6,14558028,362.25479
C16H12O10,6167533,363.03576
C13H16O12,5252081,363.05686
C17H16O9,40178676,363.07215
C18H12N4O5,2941941,363.07336
C18H20O8,11719676,363.10859
C17H20N2O7,4811774,363.11979
C15H24O10,4255744,363.12963
C19H24O7,7164932,363.14489
C16H28O9,6204424,363.16609
C20H28O6,6505483,363.18136
C17H32O8,5282831,363.20246
C15H11N1O10,3198138,364.03105
C16H31N1O8,6499549,364.19769
C16H14O10,12989837,365.05148
C13H18O12,12019089,365.07256
C17H18O9,12354964,365.08777
C14H22O11,3120537,365.10896
C18H22O8,7329180,365.12423
C15H26O10,2307488,365.1454
C19H26O7,8848803,365.16059
C16H30O9,8588712,365.18169
C20H30O6,9803179,365.19697
C21H34O5,4008370,365.23339
C15H13N1O10,16520794,366.04671
