,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,18O,17O
4318,3802,277.00578203705163,277.0066665628901,,2052556.3557827824,558080.1998984662,4.089504209491651,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4319,3804,276.5115077920409,276.51239083870223,,2179777.714417498,559078.1999801464,4.3429794820258865,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4320,3805,276.1191824200506,276.12006429256394,,7852543.510850779,559872.200041183,15.645372977149604,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4321,3806,276.1104594160506,276.11134126245713,,4614957.770339783,559890.2000623558,9.194821460204539,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4322,3807,276.08278931881176,276.0836710824052,,2968069.6696778173,559945.949753286,5.913568888871211,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4323,3809,276.05539049198427,276.0562721735762,,2591291.4238302186,560001.9500567762,5.162877577474303,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4324,3811,276.04479653402285,276.0456781839082,,3112164.3371828366,560023.4496470247,6.200662467406522,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4325,3812,276.037226978813,276.0381086060435,,6685377.373830829,560038.4500366931,13.31991632546178,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4326,3813,276.0267018795496,276.02758347527947,,7266261.274807198,448047.9599156371,14.47726684184399,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4327,3814,276.01901763738664,276.0198992101184,,6324736.655354565,560075.7000242409,12.601377352260084,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4328,3815,276.00841194626696,276.0092934872569,,6608983.766883255,560097.2000664184,13.167710040693919,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4329,3816,275.53110512385024,275.5319852362623,,2275486.2499907,561067.199883875,4.533668745201622,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4330,3824,275.06832655241493,275.06920527965025,,2321484.732597282,562011.4497775964,4.62531591860072,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4331,3826,275.05299242253784,275.0538711038741,,3716705.9390331586,562042.4501429155,7.405148482426006,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4332,3827,275.04754266794305,275.0484213329667,,4042629.750829083,562053.9499306681,8.0545176442314,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4333,3829,275.03702718588124,275.03790581942917,,3259652.7709323335,562075.4497896294,6.4945177708044515,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4334,3830,275.0294434308806,275.0303220417283,,8806495.163946051,562090.9500065993,17.546022033626713,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4335,3833,275.01115777101467,275.01203632712827,,4825201.525455622,562127.9498442562,9.613710188469277,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4336,3834,275.00063644445567,275.00151496907597,,4072074.460766728,562149.4499601753,8.113183154144444,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4337,3835,274.8957386708893,274.8966168815184,,5054457.252401349,562363.949739625,10.070478285361345,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4338,3836,274.52327004744643,274.52414714312937,,2235810.784621763,563126.9499646267,4.45461952339454,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4339,3837,274.1399341526537,274.14081010080577,,11447318.136051962,563914.7000869538,22.807586048920566,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4340,3838,274.1035516618117,274.10442750104846,,8763165.131553957,563989.1997504168,17.4596914686385,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4341,3839,274.10038037042005,274.1012562001632,,2018501.3445004772,451196.7599118021,4.02165315556034,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4342,3842,274.05791556350283,274.0587912661219,,2498900.2357769287,564083.2001829317,4.978797782832187,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4343,3844,274.047418000423,274.04829367161614,,2661141.0278372345,451283.9598250865,5.302045619712577,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4344,3845,274.03981609671325,274.04069174514893,,6766565.889158738,564120.4500542551,13.481675964489687,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4345,3846,274.02919747621667,274.0300730928639,,3775967.659357431,451313.959842376,7.523221272020815,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4346,3847,274.02152981343283,274.02240540712575,,9077836.177042348,564158.4499518138,18.086640668598054,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4347,3848,274.01100491874183,274.0118804809268,,6325380.337117928,564179.6999867128,12.602659820959873,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4348,3849,274.0034360844396,274.0043116239661,,2651318.074323635,564195.6998289132,5.282474410556575,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4349,3850,273.9928448376019,273.9937203454217,,2135309.8323261347,564217.4500800277,4.2543818703269585,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4350,3851,273.53359713548986,273.53447126843554,,2157496.293703907,565164.4500762781,4.298586077895974,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4351,3852,273.5154890368244,273.5163631155573,,2122719.284168628,565202.199847276,4.229296517837188,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4352,3861,273.05013867549985,273.05101136100456,,3518639.9153486746,566165.4500059424,7.0105226124308,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4353,3863,273.03736157203446,273.03823421928416,,2242604.894078395,566191.9498886268,4.468156077041101,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4354,3865,273.0319361278544,273.0328087588602,,7851782.776438173,566203.1999710866,15.643857293268919,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4355,3866,273.0277575204794,273.02863013897434,,3637388.2366080657,566211.4498787019,7.247116242755335,-1,,,,,,,,unassigned,,,,,,,,,,,,,
