formula,intensity,m/z
C16H20O9,3415218,355.10348
C20H20O6,932276,355.11865
C17H24O8,7628983,355.13983
C18H28O7,7176379,355.17627
C11H28N6O7,5525693,355.19482
C19H32O6,3775679,355.21261
C20H36O5,1586372,355.24906
C20H23N1O5,1136691,356.15039
C18H31N1O6,2347322,356.2078
C17H10O9,1132704,357.02533
C14H14O11,1194402,357.04628
C13H14N2O10,1106596,357.05769
C18H14O8,3517860,357.06157
C15H18O10,2162599,357.08272
C19H18O7,1345449,357.09802
C12H22O12,2719145,357.10389
C16H22O9,7385515,357.11909
C20H22O6,2091437,357.13435
C17H26O8,4316592,357.15552
C18H30O7,7528884,357.19187
C19H34O6,3440057,357.2283
C20H38O5,1166269,357.26464
C21H42O4,3016130,357.30105
C17H9N7O3,37788192,358.06943
C18H33N1O6,1949748,358.22351
C17H12O9,2198682,359.04093
C18H16O8,7432863,359.07724
C15H20O10,970401,359.09842
C19H20O7,2464419,359.11361
C16H24O9,7189158,359.13476
C20H24O6,12933800,359.15001
C17H28O8,1524906,359.17114
C18H32O7,7418543,359.20755
C19H36O6,1918131,359.24395
C18H35N1O6,7179056,360.23917
C16H10O10,1008017,361.02017
C13H14O12,1333140,361.04119
C17H14O9,7658390,361.05652
C14H18O11,1345433,361.07777
C18H18O8,6697883,361.09292
C15H22O10,2286493,361.11404
C19H22O7,3960735,361.12924
C16H26O9,3000226,361.15046
C20H26O6,3443620,361.16571
C17H30O8,948518,361.18674
C18H34O7,2309035,361.2232
C18H37N1O6,1166381,362.25473
C16H12O10,2258063,363.03576
C13H16O12,1748626,363.05678
C17H16O9,12098708,363.07217
C14H20O11,841878,363.09326
C18H20O8,9329816,363.10859
C19H24O7,2897053,363.14492
C16H28O9,958751,363.16593
C20H28O6,4510882,363.18133
C17H32O8,1058980,363.20241
C15H11N1O10,4121869,364.03101
C16H31N1O8,1217058,364.19768
C16H14O10,4236687,365.05144
C13H18O12,3507602,365.07251
C17H18O9,5643668,365.08779
C14H22O11,972438,365.10885
C18H22O8,2559384,365.12421
C19H26O7,4169117,365.1606
C20H30O6,12688801,365.19696
C21H34O5,3798438,365.23339
C15H13N1O10,6532622,366.04672
C17H37N1O7,16047656,366.24977
C15H12O11,1924236,367.03071
C12H16O13,1882255,367.05179
C16H16O10,3640977,367.06708
C17H20O9,10436246,367.10348
C18H24O8,2768539,367.13987
C19H28O7,5617311,367.1762
C20H32O6,5828260,367.21263
C21H36O5,6762153,367.24898
C15H15N1O10,118710032,368.06233
C18H27N1O7,990240,368.17131
C19H31N1O6,852004,368.20788
C15H14O11,2018193,369.04639
C12H18O13,24567700,369.06747
C16H18O10,2280342,369.0827
C13H22O12,1227161,369.10387
C17H22O9,2951067,369.1191
C18H26O8,4411296,369.15554
C19H30O7,4181924,369.19185
C20H34O6,2838441,369.22826
C21H38O5,1583022,369.2646
