,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,18O
4002,3431,287.12052735931576,287.1212477259744,,3981245.7951121433,2704.2208212242513,430736.1598731986,3.71612516806337,-1,,,,,,,,unassigned,,,,,,,,,,,,
4003,3433,287.10475131813087,287.1054716579197,,3434120.999374544,1831.6955227414649,538449.9498177248,3.2054347138321324,-1,,,,,,,,unassigned,,,,,,,,,,,,
4004,3434,287.10228417643003,287.1030045120166,,5264711.3980639605,3302.821174899397,430763.5599680112,4.914121743740388,-1,,,,,,,,unassigned,,,,,,,,,,,,
4005,3436,287.08790571065566,287.0886260217504,,3934615.6738840365,2206.452153325108,538481.1999231265,3.67260025751945,-1,,,,,,,,unassigned,,,,,,,,,,,,
4006,3437,287.08427912113143,287.08499942604846,,4431495.395180931,2643.1364702244314,430790.55995381734,4.136391576326907,-1,,,,,,,,unassigned,,,,,,,,,,,,
4007,3439,287.0683007981732,287.06902107587064,,3863908.3124515247,2112.397785488398,538517.9499344095,3.606601467465014,-1,,,,,,,,unassigned,,,,,,,,,,,,
4008,3440,287.06581442893645,287.06653470239803,,5097338.373159118,2986.757523855083,538522.699985628,4.7578944866673885,-1,,,,,,,,unassigned,,,,,,,,,,,,
4009,3442,287.0479377711324,287.0486580141374,,8626446.660741976,4828.038864820671,538556.1999588264,8.051991059254982,-1,,,,,,,,unassigned,,,,,,,,,,,,
4010,3444,287.0372786788065,287.03799890365013,,3922247.3286570087,2446.416372912347,430861.1599478087,3.661055549819693,-1,,,,,,,,unassigned,,,,,,,,,,,,
4011,3445,287.0294482829324,287.0301684944337,,8314817.578728583,5225.776348173761,538590.9500254,7.761114099035088,-1,,,,,,,,unassigned,,,,,,,,,,,,
4012,3447,287.0114672759994,287.01218745686043,,3847126.9357904503,2474.4664449305797,538624.9499111148,3.590937602590976,-1,,,,,,,,unassigned,,,,,,,,,,,,
4013,3448,286.1766816330607,286.1774003882233,,15990960.377633264,9413.804441376262,540196.1998954271,14.926084290948241,-1,,,,,,,,unassigned,,,,,,,,,,,,
4014,3449,286.1402980778288,286.1410167707111,,6798862.957278811,3970.0995553798675,540264.4500007196,6.346110501586318,-1,,,,,,,,unassigned,,,,,,,,,,,,
4015,3450,286.13716888376536,286.1378875712906,,4327125.176391943,2599.382715511016,540270.4497459903,4.038971618655815,-1,,,,,,,,unassigned,,,,,,,,,,,,
4016,3451,286.1125739771129,286.1132926225299,,4446756.953530231,2675.626120620362,540317.1998882818,4.1506368312054995,-1,,,,,,,,unassigned,,,,,,,,,,,,
4017,3452,286.1037974878703,286.10451611826,,4316096.398478975,2980.6415192918203,432266.9599061852,4.028677273296459,-1,,,,,,,,unassigned,,,,,,,,,,,,
